dict_id,direction,direction_known,parcor_has_examples_in_source,parcor_source_example_rate,prep_rows,billex_rows,billex_null_rate,billex_multiword_ind_rate,morph_rows,morph_tag_coverage,parcor_rows,parcor_null_rate,parcor_placeholder_rate,parcor_short_rate,billex_fixed_rows,billex_fixed_null_rate,billex_fixed_multiword_ind_rate,morph_fixed_rows,morph_fixed_tag_coverage,parcor_fixed_rows,parcor_fixed_null_rate,parcor_fixed_placeholder_rate,parcor_fixed_short_rate,billex_violations_prefix,billex_tier_prefix,morph_violations_prefix,morph_tier_prefix,parcor_violations_prefix,parcor_tier_prefix,overall_tier_prefix,billex_violations_postfix,billex_tier_postfix,morph_violations_postfix,morph_tier_postfix,parcor_violations_postfix,parcor_tier_postfix,overall_tier_postfix
43,1,True,True,0.762,4911,3417,0.0,0.1112,1444,0.759,3705,0.0121,0.3179,0.1776,3417,0.0,0.074,1444,0.9612,3705,0.0121,0.0032,0.1776,,good,,good,,good,good,,good,,good,,good,good
44,0,True,True,0.3533,2001,3,0.0,0.6667,0,,687,0.0378,0.5138,0.1951,3,0.0,0.6667,0,,687,0.0378,0.0087,0.1951,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
45,1,True,True,0.6534,3661,2377,0.0,0.0888,1039,0.7132,2332,0.0789,0.2732,0.2281,2377,0.0,0.0273,1039,0.8855,2332,0.0789,0.0017,0.2281,,good,,good,,good,good,,good,,good,,good,good
46,0,True,True,0.6508,13194,8618,0.0,0.1354,4621,0.8383,8484,0.0152,0.3703,0.351,8618,0.0,0.1354,4621,0.9632,8484,0.0152,0.0092,0.351,,good,,good,,good,good,,good,,good,,good,good
48,0,True,True,0.8798,233,1,0.0,1.0,0,,193,0.0259,0.5544,0.1554,1,0.0,1.0,0,,193,0.0259,0.0104,0.1554,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
50,1,True,True,0.4327,1620,410,0.0024,0.161,252,0.1548,679,0.0412,0.2253,0.5567,410,0.0024,0.1,252,0.1825,679,0.0412,0.0133,0.5567,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_short_rows,broken,broken,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_short_rows,broken,broken
51,0,True,True,0.42,2095,294,0.0,0.2959,39,0.1538,813,0.0271,0.4071,0.3432,294,0.0,0.2959,39,0.3333,813,0.0271,0.0049,0.3432,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
52,0,True,True,0.7966,2679,5,0.0,0.4,0,,2111,0.0123,0.5372,0.1549,5,0.0,0.4,0,,2111,0.0123,0.0066,0.1549,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention
54,1,True,True,0.5013,2352,1085,0.0,0.2018,728,0.1992,1174,0.0009,0.0009,0.0877,1085,0.0,0.177,728,0.2349,1174,0.0009,0.0009,0.0877,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
55,1,True,True,0.6945,2668,1508,0.0,0.1956,422,0.609,1829,0.0027,0.597,0.2165,1508,0.0,0.1373,422,0.9597,1829,0.0027,0.0027,0.2165,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
