dict_id,direction,direction_known,prep_rows,prep_anomali_rate,billex_rows,billex_null_rate,billex_empty_ind_rate,billex_empty_reg_rate,billex_multiword_ind_rate,billex_multiword_reg_rate,billex_identical_rate,billex_duplicate_rate,billex_vocab_size_ind,billex_vocab_size_reg,billex_total_tokens_ind,billex_total_tokens_reg,billex_ttr_ind,billex_ttr_reg,billex_suspicious_char_rate,billex_mean_len_ind,billex_mean_len_reg,morph_rows,morph_tag_coverage,morph_inline_pos_rate,morph_mean_form_tokens,morph_duplicate_rate,morph_tag_pct_n,morph_tag_pct_v,morph_tag_pct_vt,morph_tag_pct_vi,morph_tag_pct_a,morph_tag_pct_adv,parcor_rows,parcor_null_rate,parcor_placeholder_rate,parcor_short_rate,parcor_imbalanced_rate,parcor_duplicate_rate,parcor_mean_len_asal,parcor_mean_len_tujuan,morph_fixed_rows,morph_fixed_tag_coverage,morph_fixed_inline_pos_rate,morph_fixed_mean_form_tokens,morph_fixed_duplicate_rate,morph_fixed_tag_pct_n,morph_fixed_tag_pct_v,morph_fixed_tag_pct_vt,morph_fixed_tag_pct_vi,morph_fixed_tag_pct_a,morph_fixed_tag_pct_adv,parcor_fixed_rows,parcor_fixed_null_rate,parcor_fixed_placeholder_rate,parcor_fixed_short_rate,parcor_fixed_imbalanced_rate,parcor_fixed_duplicate_rate,parcor_fixed_mean_len_asal,parcor_fixed_mean_len_tujuan,violations_prefix,violation_count_prefix,tier_prefix,violations_postfix,violation_count_postfix,tier_postfix
23,0,True,2938,0.3574,1870,0.0,0.0,0.0,0.2209,0.154,0.0144,0.0091,2102.0,1502.0,2621.0,1894.0,0.802,0.793,0.0011,8.93,7.27,693,0.7619,0.0823,1.85,0.0361,0.161,0.7936,0.0,0.0,0.0,0.0284,2395,0.0054,0.5177,0.1144,0.033,0.0029,5.29,5.95,693,0.8615,0.0,1.54,0.0534,0.1558,0.7588,0.0168,0.0034,0.0134,0.0268,2395,0.0054,0.0046,0.1144,0.033,0.0029,5.29,5.95,billex_high_multiword_ind;parcor_high_placeholders,2,needs_attention,billex_high_multiword_ind,1,needs_attention
24,0,True,8517,0.4645,4405,0.0,0.0,0.0005,0.1419,0.1008,0.0436,0.003,5255.0,3359.0,6082.0,4077.0,0.864,0.8239,0.0068,9.88,7.39,2172,0.6248,0.1694,1.79,0.0097,0.0833,0.8519,0.0,0.0,0.0346,0.0111,3518,0.0574,0.1677,0.4855,0.079,0.0125,5.89,7.09,2172,0.8034,0.0,1.2,0.0129,0.0894,0.8281,0.0086,0.0052,0.0378,0.0109,3518,0.0574,0.0085,0.4855,0.079,0.0125,5.89,7.09,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows,3,broken,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows,3,broken
25,1,True,440,0.6182,168,0.0,0.0,0.0,0.0595,0.0179,0.2738,0.0,180.0,161.0,183.0,166.0,0.9836,0.9699,0.0,7.73,7.03,143,0.4965,0.0699,1.88,0.028,0.4789,0.5211,0.0,0.0,0.0,0.0,195,0.0513,0.559,0.3128,0.0154,0.0,159.07,159.39,143,0.6224,0.0,1.64,0.035,0.4494,0.4607,0.0787,0.0112,0.0,0.0,195,0.0513,0.0103,0.3128,0.0154,0.0,159.07,159.39,morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,4,broken,parcor_high_null_rate;parcor_high_short_rows,2,needs_attention
26,1,True,4743,0.1621,3137,0.0,0.0,0.0022,0.1897,0.0982,0.0013,0.0038,3791.0,1775.0,4355.0,2302.0,0.8705,0.7711,0.0094,8.91,5.49,1014,0.6558,0.2919,2.57,0.0108,0.8481,0.0782,0.0,0.0,0.0526,0.0195,591,0.1168,0.0389,0.6531,0.0389,0.0,2.93,3.48,1014,0.9615,0.0,1.18,0.0148,0.6974,0.0708,0.0533,0.1138,0.0441,0.0154,591,0.1168,0.0,0.6531,0.0389,0.0,2.93,3.48,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows,3,broken,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows,3,broken
27,1,True,3728,0.5684,1559,0.0,0.0,0.0,0.2418,0.1155,0.0109,0.0051,1842.0,1175.0,2304.0,1527.0,0.7995,0.7695,0.0003,9.37,6.69,612,0.6569,0.2582,2.23,0.0114,0.301,0.6343,0.0,0.0,0.0473,0.005,1738,0.0414,0.3734,0.4471,0.0598,0.0029,4.57,5.38,612,0.9101,0.0,1.37,0.0163,0.3124,0.6248,0.0018,0.0018,0.0431,0.0054,1738,0.0414,0.0098,0.4471,0.0598,0.0029,4.57,5.38,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,3,broken,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention
28,0,True,1082,0.3817,658,0.0015,0.0015,0.0,0.1581,0.1292,0.0304,0.038,835.0,458.0,1093.0,503.0,0.764,0.9105,0.0,10.09,5.9,183,0.8306,0.1038,2.19,0.0601,0.0921,0.8158,0.0,0.0,0.0789,0.0132,547,0.0073,0.5558,0.1261,0.0713,0.0,65.47,69.37,183,0.9454,0.0,1.21,0.082,0.0925,0.7803,0.0,0.0231,0.0925,0.0116,547,0.0073,0.0018,0.1261,0.0713,0.0,65.47,69.37,billex_high_multiword_ind;parcor_high_placeholders,2,needs_attention,billex_high_multiword_ind,1,needs_attention
29,0,True,1980,0.9975,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,41.0,2.0,2,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588,0.0246,0.5913,0.2796,0.0649,0.0063,9.83,10.39,2,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588,0.0246,0.0435,0.2796,0.0649,0.0063,9.83,10.39,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,5,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage,4,broken
31,0,True,1371,0.9912,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0,,,,,,,,,,,566,0.1025,0.341,0.4452,0.0512,0.0177,26.16,26.97,0,,,,,,,,,,,566,0.1025,0.0124,0.4452,0.0512,0.0177,26.16,26.97,billex_too_few_rows;morph_too_few_rows;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,5,broken,billex_too_few_rows;morph_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,4,broken
32,0,True,3365,0.9923,5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,21.0,1.0,22.0,1.0,0.9545,1.0,0.0,27.2,2.0,0,,,,,,,,,,,1261,0.0167,0.4132,0.3354,0.1237,0.0008,8.95,9.62,0,,,,,,,,,,,1261,0.0167,0.0063,0.3354,0.1237,0.0008,8.95,9.62,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_placeholders;parcor_high_short_rows,5,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_short_rows,4,broken
33,0,True,2912,0.9014,30,0.0,0.0,0.0,0.3333,0.0667,0.0,0.0,102.0,5.0,114.0,5.0,0.8947,1.0,0.0,22.33,2.63,27,0.0,0.037,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855,0.0097,0.2857,0.3121,0.145,0.0016,7.65,8.57,27,0.037,0.0,3.63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1855,0.0097,0.0059,0.3121,0.145,0.0016,7.65,8.57,billex_too_few_rows;billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,5,broken,billex_too_few_rows;billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_short_rows,4,broken
